clip_id,label_name,predicted_class,final_score,duration
v_ApplyEyeMakeup_g01_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.28806179761886597,0.07669063409169515
v_ApplyEyeMakeup_g01_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2856036424636841,0.028540992736816408
v_ApplyEyeMakeup_g01_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.29238802194595337,0.027218765682644315
v_ApplyEyeMakeup_g01_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.28859463334083557,0.026567727327346802
v_ApplyEyeMakeup_g01_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2811979353427887,0.026520967483520508
v_ApplyEyeMakeup_g01_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.28527045249938965,0.02538762092590332
v_ApplyEyeMakeup_g02_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.27074265480041504,0.025504509607950848
v_ApplyEyeMakeup_g02_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2700955271720886,0.02576165199279785
v_ApplyEyeMakeup_g02_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2728825807571411,0.02531149983406067
v_ApplyEyeMakeup_g02_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.24505256116390228,0.025466640790303547
v_ApplyEyeMakeup_g03_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.271748811006546,0.026966163090297153
v_ApplyEyeMakeup_g03_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2761358618736267,0.025659561157226562
v_ApplyEyeMakeup_g03_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2732836604118347,0.02973771095275879
v_ApplyEyeMakeup_g03_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2772570550441742,0.025964736938476562
v_ApplyEyeMakeup_g03_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2770273685455322,0.025586795806884766
v_ApplyEyeMakeup_g03_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.2609505355358124,0.025484323501586914
v_ApplyEyeMakeup_g04_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2638550400733948,0.025597667694091795
v_ApplyEyeMakeup_g04_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.27662956714630127,0.025827980041503905
v_ApplyEyeMakeup_g04_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.24582865834236145,0.02576899528503418
v_ApplyEyeMakeup_g04_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.28312623500823975,0.025896412985665456
v_ApplyEyeMakeup_g04_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.26513952016830444,0.02577418088912964
v_ApplyEyeMakeup_g04_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.2672983407974243,0.025505781173706055
v_ApplyEyeMakeup_g04_c07,ApplyEyeMakeup,ApplyEyeMakeup,0.2674226760864258,0.0259246826171875
v_ApplyEyeMakeup_g05_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2611684203147888,0.025230116314358182
v_ApplyEyeMakeup_g05_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.25025081634521484,0.025355868869357638
v_ApplyEyeMakeup_g05_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2509680390357971,0.02542269229888916
v_ApplyEyeMakeup_g05_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2496621012687683,0.025205135345458984
v_ApplyEyeMakeup_g05_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2523738145828247,0.025342494249343872
v_ApplyEyeMakeup_g05_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.24226045608520508,0.02594780921936035
v_ApplyEyeMakeup_g05_c07,ApplyEyeMakeup,ApplyEyeMakeup,0.24968402087688446,0.025647759437561035
v_ApplyEyeMakeup_g06_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2807713449001312,0.02535839080810547
v_ApplyEyeMakeup_g06_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2837215065956116,0.02469320297241211
v_ApplyEyeMakeup_g06_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.27863308787345886,0.022424644894070096
v_ApplyEyeMakeup_g06_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2725805938243866,0.026087939739227295
v_ApplyEyeMakeup_g06_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2854517698287964,0.024535298347473145
v_ApplyEyeMakeup_g06_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.28245484828948975,0.025678634643554688
v_ApplyEyeMakeup_g06_c07,ApplyEyeMakeup,ApplyEyeMakeup,0.27658143639564514,0.025620301564534504
v_ApplyEyeMakeup_g07_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.24862593412399292,0.02569731076558431
v_ApplyEyeMakeup_g07_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.25001493096351624,0.025504509607950848
v_ApplyEyeMakeup_g07_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2734832763671875,0.02600560188293457
v_ApplyEyeMakeup_g07_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2793377637863159,0.024990606307983398
v_ApplyEyeMakeup_g07_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2671354413032532,0.026250481605529785
v_ApplyEyeMakeup_g07_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.2662510275840759,0.02557353178660075
