clip_id,label_name,predicted_class,intent_score,motion_score,object_score,final_score,duration
v_ApplyEyeMakeup_g01_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2676316201686859,0.23404166102409363,0.2256157100200653,0.2457924634218216,0.08741899331410725
v_ApplyEyeMakeup_g01_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2622487545013428,0.23579739034175873,0.22609008848667145,0.24443647265434265,0.026168966293334962
v_ApplyEyeMakeup_g01_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2628015875816345,0.2472556233406067,0.23105859756469727,0.25023460388183594,0.027244753307766385
v_ApplyEyeMakeup_g01_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.26381438970565796,0.24290822446346283,0.23194241523742676,0.24907752871513367,0.02603703737258911
v_ApplyEyeMakeup_g01_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2502930164337158,0.2538274824619293,0.22421026229858398,0.2464902549982071,0.02603802680969238
v_ApplyEyeMakeup_g01_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.25949394702911377,0.24523767828941345,0.22627246379852295,0.24714714288711548,0.026725149154663085
v_ApplyEyeMakeup_g02_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.25445884466171265,0.22099709510803223,0.2286282777786255,0.23590803146362305,0.026143709818522137
v_ApplyEyeMakeup_g02_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2584202289581299,0.21653665602207184,0.23333603143692017,0.23664996027946472,0.02624540328979492
v_ApplyEyeMakeup_g02_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.26211249828338623,0.2272881269454956,0.229559063911438,0.2416720688343048,0.02564072608947754
v_ApplyEyeMakeup_g02_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2285889983177185,0.22191362082958221,0.1991317868232727,0.22002741694450378,0.026211857795715332
