clip_id,label_name,predicted_class,intent_score,motion_score,object_score,final_score,num_frames,duration
v_ApplyEyeMakeup_g01_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.1807861328125,0.179931640625,0.165283203125,0.1773681640625,164,1.0595908164978027
v_ApplyEyeMakeup_g01_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.167724609375,0.1649169921875,0.1544189453125,0.1639404296875,123,0.17524123191833496
v_ApplyEyeMakeup_g01_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.1556396484375,0.1448974609375,0.1531982421875,0.15087890625,259,0.1745309829711914
v_ApplyEyeMakeup_g01_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.169189453125,0.1588134765625,0.1732177734375,0.1658935546875,235,0.17450809478759766
v_ApplyEyeMakeup_g01_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.1689453125,0.1583251953125,0.161865234375,0.1632080078125,296,0.17830467224121094
v_ApplyEyeMakeup_g01_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.15234375,0.142578125,0.1656494140625,0.151123046875,122,0.17746782302856445
v_ApplyEyeMakeup_g02_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.193359375,0.17138671875,0.15966796875,0.177734375,170,0.1777799129486084
v_ApplyEyeMakeup_g02_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.19482421875,0.1732177734375,0.1673583984375,0.1806640625,146,0.1745009422302246
v_ApplyEyeMakeup_g02_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.1951904296875,0.1759033203125,0.1695556640625,0.182373046875,216,0.17829608917236328
v_ApplyEyeMakeup_g02_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.21337890625,0.1815185546875,0.16845703125,0.191650390625,170,0.1754920482635498
v_ApplyEyeMakeup_g03_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.15576171875,0.144287109375,0.1654052734375,0.153076171875,209,0.18024230003356934
v_ApplyEyeMakeup_g03_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.1815185546875,0.1583251953125,0.17041015625,0.1700439453125,134,0.17927193641662598
v_ApplyEyeMakeup_g03_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.177001953125,0.159423828125,0.1678466796875,0.1680908203125,115,0.1759190559387207
v_ApplyEyeMakeup_g03_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.180908203125,0.1630859375,0.1766357421875,0.173095703125,108,0.1756439208984375
v_ApplyEyeMakeup_g03_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.1820068359375,0.1651611328125,0.175537109375,0.174072265625,146,0.17534208297729492
v_ApplyEyeMakeup_g03_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.17529296875,0.165771484375,0.17724609375,0.171875,152,0.17664289474487305
v_ApplyEyeMakeup_g04_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.1912841796875,0.1766357421875,0.1602783203125,0.17919921875,126,0.1797010898590088
v_ApplyEyeMakeup_g04_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.20166015625,0.180908203125,0.167236328125,0.1865234375,132,0.17494916915893555
v_ApplyEyeMakeup_g04_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.1995849609375,0.17626953125,0.136474609375,0.177734375,114,0.1759350299835205
v_ApplyEyeMakeup_g04_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.1971435546875,0.17626953125,0.1639404296875,0.18212890625,181,0.17902493476867676
v_ApplyEyeMakeup_g04_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2064208984375,0.17724609375,0.1658935546875,0.186767578125,106,0.17872405052185059
v_ApplyEyeMakeup_g04_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.20703125,0.180419921875,0.1632080078125,0.187744140625,248,0.1784958839416504
v_ApplyEyeMakeup_g04_c07,ApplyEyeMakeup,ApplyEyeMakeup,0.1993408203125,0.17919921875,0.1639404296875,0.18408203125,158,0.17906498908996582
v_ApplyEyeMakeup_g05_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.1710205078125,0.1488037109375,0.16455078125,0.160888671875,268,0.17618799209594727
v_ApplyEyeMakeup_g05_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.1689453125,0.1607666015625,0.1654052734375,0.1649169921875,264,0.17947101593017578
v_ApplyEyeMakeup_g05_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.168701171875,0.1494140625,0.1624755859375,0.15966796875,158,0.18529224395751953
