clip_id,label_name,predicted_class,final_score,num_frames,duration
v_ApplyEyeMakeup_g01_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2222900390625,164,0.4633500576019287
v_ApplyEyeMakeup_g01_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2069091796875,123,0.17358016967773438
v_ApplyEyeMakeup_g01_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.1971435546875,259,0.1758711338043213
v_ApplyEyeMakeup_g01_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2109375,235,0.17430400848388672
v_ApplyEyeMakeup_g01_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2100830078125,296,0.17380094528198242
v_ApplyEyeMakeup_g01_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.19921875,122,0.17588591575622559
v_ApplyEyeMakeup_g02_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2220458984375,170,0.17330098152160645
v_ApplyEyeMakeup_g02_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.224853515625,146,0.17342734336853027
v_ApplyEyeMakeup_g02_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2232666015625,216,0.1742720603942871
v_ApplyEyeMakeup_g02_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2275390625,170,0.17465496063232422
v_ApplyEyeMakeup_g03_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.200439453125,209,0.17456793785095215
v_ApplyEyeMakeup_g03_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.218017578125,134,0.1775963306427002
v_ApplyEyeMakeup_g03_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2196044921875,115,0.1756761074066162
v_ApplyEyeMakeup_g03_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2249755859375,108,0.1766049861907959
v_ApplyEyeMakeup_g03_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2237548828125,146,0.17522096633911133
v_ApplyEyeMakeup_g03_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.2196044921875,152,0.1801891326904297
v_ApplyEyeMakeup_g04_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2257080078125,126,0.17191600799560547
v_ApplyEyeMakeup_g04_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2301025390625,132,0.17289209365844727
v_ApplyEyeMakeup_g04_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2008056640625,114,0.17539310455322266
v_ApplyEyeMakeup_g04_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.22509765625,181,0.17327189445495605
v_ApplyEyeMakeup_g04_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2318115234375,106,0.18027782440185547
v_ApplyEyeMakeup_g04_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.231201171875,248,0.1750020980834961
v_ApplyEyeMakeup_g04_c07,ApplyEyeMakeup,ApplyEyeMakeup,0.2247314453125,158,0.17896795272827148
v_ApplyEyeMakeup_g05_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2130126953125,268,0.17101001739501953
v_ApplyEyeMakeup_g05_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2056884765625,264,0.17353177070617676
v_ApplyEyeMakeup_g05_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2103271484375,158,0.18075203895568848
v_ApplyEyeMakeup_g05_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.212890625,186,0.1754896640777588
v_ApplyEyeMakeup_g05_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2103271484375,227,0.18060302734375
v_ApplyEyeMakeup_g05_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.2117919921875,115,0.17827987670898438
v_ApplyEyeMakeup_g05_c07,ApplyEyeMakeup,ApplyEyeMakeup,0.2156982421875,235,0.1768639087677002
v_ApplyEyeMakeup_g06_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2286376953125,139,0.17519497871398926
v_ApplyEyeMakeup_g06_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2257080078125,139,0.17520689964294434
v_ApplyEyeMakeup_g06_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2384033203125,245,0.17468500137329102
v_ApplyEyeMakeup_g06_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2154541015625,100,0.17530131340026855
v_ApplyEyeMakeup_g06_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2239990234375,281,0.17791509628295898
v_ApplyEyeMakeup_g06_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.24267578125,146,0.17430615425109863
v_ApplyEyeMakeup_g06_c07,ApplyEyeMakeup,ApplyEyeMakeup,0.236572265625,167,0.17629289627075195
